Neurons,Activation function,Number of EPOCHs,Optimization algorithm,learning rate,Error rate of mean,Error rate of variance,Error rate of skewness
"[4, 8, 5, 3]",relu,1000,Adam,0.003,0.040997449308633804,0.271598219871521,0.040997449308633804
"[4, 8, 5, 3]",relu,1000,Adam,0.002,0.05992843583226204,0.775843620300293,0.05992843583226204
"[4, 8, 5, 3]",relu,1000,Adam,0.001,0.12476122379302979,0.788532018661499,0.12476122379302979
"[4, 8, 5, 3]",relu,1000,Adam,0.0003,0.1094580814242363,0.6362019777297974,0.1094580814242363
"[4, 8, 5, 3]",relu,1000,Adam,0.0002,0.16174201667308807,0.6600114703178406,0.16174201667308807
"[4, 8, 5, 3]",relu,1000,Adam,0.0001,0.6066359877586365,0.9326462745666504,0.6066359877586365
"[4, 8, 5, 3]",relu,1000,SGD,0.003,0.2302321344614029,0.9767037034034729,0.2302321344614029
"[4, 8, 5, 3]",relu,1000,SGD,0.002,0.3158566951751709,0.7272841930389404,0.3158566951751709
"[4, 8, 5, 3]",relu,1000,SGD,0.001,0.29048487544059753,1.1505050659179688,0.29048487544059753
"[4, 8, 5, 3]",relu,1000,SGD,0.0003,0.8733183741569519,1.7168562412261963,0.8733183741569519
"[4, 8, 5, 3]",relu,1000,SGD,0.0002,0.9510395526885986,1.0385031700134277,0.9510395526885986
"[4, 8, 5, 3]",relu,1000,SGD,0.0001,0.3745654225349426,2.129575490951538,0.3745654225349426
"[4, 8, 5, 3]",relu,10000,Adam,0.003,0.05055513232946396,0.7881262302398682,0.05055513232946396
"[4, 8, 5, 3]",relu,10000,Adam,0.002,0.048297982662916183,0.8559727072715759,0.048297982662916183
"[4, 8, 5, 3]",relu,10000,Adam,0.001,0.05183807387948036,0.77435702085495,0.05183807387948036
"[4, 8, 5, 3]",relu,10000,Adam,0.0003,0.05088401958346367,0.7144961357116699,0.05088401958346367
"[4, 8, 5, 3]",relu,10000,Adam,0.0002,0.0407458171248436,0.1975090354681015,0.0407458171248436
"[4, 8, 5, 3]",relu,10000,Adam,0.0001,0.0417073518037796,0.25666362047195435,0.0417073518037796
"[4, 8, 5, 3]",relu,10000,SGD,0.003,0.23289519548416138,0.9954575896263123,0.23289519548416138
"[4, 8, 5, 3]",relu,10000,SGD,0.002,0.2082521617412567,1.0699949264526367,0.2082521617412567
"[4, 8, 5, 3]",relu,10000,SGD,0.001,0.1845182478427887,1.0016664266586304,0.1845182478427887
"[4, 8, 5, 3]",relu,10000,SGD,0.0003,0.2204810529947281,1.0454761981964111,0.2204810529947281
"[4, 8, 5, 3]",relu,10000,SGD,0.0002,0.2329738289117813,0.6004787683486938,0.2329738289117813
"[4, 8, 5, 3]",relu,10000,SGD,0.0001,0.3543587028980255,0.6129617094993591,0.3543587028980255
"[4, 8, 5, 3]",tanh,1000,Adam,0.003,0.0644792690873146,0.2697117328643799,0.0644792690873146
"[4, 8, 5, 3]",tanh,1000,Adam,0.002,0.042842961847782135,0.31261488795280457,0.042842961847782135
"[4, 8, 5, 3]",tanh,1000,Adam,0.001,0.04205482453107834,0.26968348026275635,0.04205482453107834
