X_mean,X_variance,X_skewness,Y_mean,Y_variance,Y_skewness,Z_mean,Z_variance,Z_skewness
0.0,0.403254,-0.875323,0.21868,0.942152,0.455333,0.572762,0.528383,0.813968
0.0,0.933248,-0.336849,0.241054,0.275011,-0.555858,0.5644,0.3025,0.194757
0.0,0.965715,-0.649411,0.541113,0.391691,0.771043,0.76494,0.353897,0.46291
0.0,0.93733,0.497043,0.778254,0.269932,0.535773,0.943727,0.344946,0.825498
0.0,0.830546,-0.261086,0.844584,0.304367,-0.519317,0.969938,0.257476,-0.26864
0.0,0.478842,0.391518,0.714914,0.544065,-0.0909982,0.863344,0.416141,0.152052
0.0,0.0513105,-0.667328,0.850839,0.429043,-0.870561,0.90631,0.296483,-0.24371
0.0,0.458497,-0.101245,0.483345,0.358368,0.597483,0.64568,0.301617,0.532469
0.0,0.141839,-0.022291,0.90027,0.0668946,0.897077,0.903224,0.0662342,0.897366
0.0,0.440176,-0.929752,0.975224,0.506556,0.104834,1.0418,0.402403,0.395171
0.0,0.717143,-0.565145,0.364371,0.0783927,0.6162,0.552755,0.140547,0.776636
0.0,0.555814,0.947979,0.890405,0.0427342,0.0952467,0.96325,0.0966491,2.14019
0.0,0.0283823,0.431589,0.857549,0.291862,-0.176935,0.876724,0.253412,0.147607
0.0,0.825738,-0.0370647,0.960434,0.0524239,0.0503347,1.03357,0.0916209,1.35004
0.0,0.633665,0.186523,0.321312,0.410909,-0.957896,0.594137,0.29729,-0.161309
0.0,0.804706,-0.961065,0.908994,0.877891,-0.39885,1.0834,0.551962,-0.0196006
0.0,0.455803,-0.977902,0.590791,0.0779286,0.455,0.647782,0.0673232,0.296218
0.0,0.0278684,-0.919898,0.326243,0.699991,0.948309,0.504786,0.467088,1.56257
0.0,0.467619,-0.763376,0.303359,0.963516,-0.659554,0.643617,0.41002,-0.163112
0.0,0.145755,0.0672489,0.558889,0.393723,0.0102197,0.653499,0.277831,0.432222
0.0,0.0522888,-0.285366,0.132311,0.735237,-0.395271,0.425459,0.267647,0.897013
0.0,0.893861,0.709375,0.467123,0.56005,-0.749471,0.764866,0.486263,0.184353
0.0,0.367766,0.366511,0.847985,0.191111,-0.584347,0.905043,0.167825,-0.326105
0.0,0.260704,0.0832084,0.220203,0.296052,0.683841,0.415705,0.231708,0.602018
0.0,0.661769,0.742598,0.392457,0.583071,-0.610856,0.680079,0.436712,0.10323
0.0,0.623552,-0.130475,0.489937,0.161582,0.0140007,0.64822,0.182904,0.355472
0.0,0.966084,0.978471,0.896671,0.681915,0.347768,1.09589,0.671288,0.466843
0.0,0.857057,0.407657,0.877735,0.373898,0.694646,1.01784,0.397131,0.682883
0.0,0.17118,-0.830363,0.0604883,0.947968,-0.201113,0.451859,0.359655,0.735298
0.0,0.768669,-0.179477,0.14005,0.497,-0.0288911,0.52103,0.39927,0.0934798
0.0,0.379744,-0.371569,0.430709,0.702919,-0.974822,0.674786,0.315421,-0.533524
0.0,0.398567,0.123156,0.338583,0.783862,-0.773525,0.632023,0.369706,-0.208802
0.0,0.587674,-0.278413,0.0600773,0.545309,-0.900456,0.452246,0.293255,-0.404272
0.0,0.569071,0.976934,0.749282,0.162289,0.0331663,0.861185,0.210662,0.722818
0.0,0.379103,-0.0930434,0.586498,0.0577981,-0.366311,0.65286,0.0695512,0.341439
0.0,0.0737908,-0.706822,0.430932,0.111454,0.426195,0.45951,0.0928514,0.665737
0.0,0.837995,0.530531,0.396706,0.348506,-0.044202,0.668031,0.405235,0.568148
0.0,0.401304,0.182104,0.649023,0.177026,0.864197,0.730684,0.180658,0.749991
0.0,0.123137,0.863362,0.60537,0.724535,0.104667,0.745162,0.484229,0.686694
0.0,0.493147,0.565548,0.459141,0.880403,0.983692,0.713459,0.722917,0.88961
0.0,0.982779,0.272129,0.638111,0.306073,-0.0646833,0.847884,0.357525,0.493489
0.0,0.851366,0.207313,0.775875,0.741024,0.0867566,0.985628,0.593359,0.231862
0.0,0.534894,-0.697711,0.816544,0.17865,-0.517021,0.876879,0.14212,-0.390257
0.0,0.779168,-0.0553444,0.507888,0.0581643,-0.503597,0.672498,0.148925,1.39735
0.0,0.297351,0.186294,0.0844564,0.790901,-0.318075,0.459877,0.357057,0.288816
0.0,0.420759,0.660986,0.783943,0.796006,0.581842,0.929456,0.652938,0.719667
0.0,0.51219,-0.0422386,0.77911,0.422492,0.191123,0.891103,0.346638,0.29429
0.0,0.991232,0.727276,0.0795763,0.205329,0.784361,0.475813,0.509549,1.27422
0.0,0.179517,-0.635091,0.00977746,0.579872,-0.50425,0.349722,0.206266,0.150103
0.0,0.49575,-0.75478,0.682636,0.469436,0.80637,0.801309,0.380596,0.864109
0.0,0.509692,-0.568052,0.13094,0.626989,-0.419473,0.490615,0.319353,-0.206692
0.0,0.590012,0.307818,0.480008,0.240427,-0.55011,0.659841,0.237377,0.195075
0.0,0.672802,0.0216123,0.462371,0.112426,-0.25524,0.632537,0.173088,0.768943
0.0,0.0739175,0.236044,0.854268,0.205753,0.468176,0.862677,0.196086,0.559843
0.0,0.727197,0.950825,0.859628,0.38348,0.650008,0.998271,0.416085,0.688763
0.0,0.244327,-0.693514,0.681225,0.0752598,0.0614206,0.701763,0.0673458,0.127844
0.0,0.895951,-0.83545,0.415954,0.969519,0.173292,0.766514,0.595416,0.25212
0.0,0.260038,-0.904746,0.194114,0.413904,0.842991,0.425038,0.272472,0.871423
0.0,0.815721,-0.10676,0.861339,0.266804,-0.695277,0.980812,0.236662,-0.311301
0.0,0.777682,-0.149474,0.765535,0.602807,0.834178,0.933254,0.529751,0.720665
0.0,0.304145,0.670913,0.916297,0.500237,0.72603,0.980923,0.452805,0.774818
0.0,0.384055,-0.674321,0.78289,0.511281,-0.762223,0.896178,0.318376,-0.329009
0.0,0.868181,-0.418794,0.930829,0.0629392,-0.582287,1.00114,0.0854779,0.494992
0.0,0.601263,-0.742321,0.585149,0.444486,0.225562,0.750479,0.322441,0.297255
0.0,0.411238,-0.615594,0.997918,0.0885745,0.285115,1.01158,0.0843214,0.309032
0.0,0.52269,-0.70042,0.763137,0.876042,-0.8804,0.95833,0.46449,-0.401128
0.0,0.762878,-0.674539,0.245054,0.0261233,-0.280978,0.47609,0.13248,1.17382
0.0,0.682612,-0.371401,0.384176,0.600331,-0.357729,0.667016,0.379119,-0.142291
0.0,0.807301,-0.711831,0.128202,0.785189,0.658219,0.564843,0.539815,0.384898
0.0,0.780833,-0.331966,0.912308,0.154244,0.7808,0.989051,0.165267,0.695135
0.0,0.217919,0.278567,0.0725641,0.687224,0.829758,0.410622,0.421217,1.05782
0.0,0.641862,-0.540761,0.320242,0.589938,0.912992,0.609134,0.459968,0.649293
0.0,0.0465562,-0.102135,0.296588,0.683178,-0.377857,0.514573,0.302621,0.767329
0.0,0.180075,0.976997,0.172882,0.00993302,0.362474,0.283765,0.0621406,2.25696
0.0,0.353872,-0.405684,0.0968294,0.629317,-0.933123,0.444063,0.2401,-0.565346
0.0,0.367993,-0.164901,0.702599,0.549784,0.607081,0.81881,0.442302,0.753061
0.0,0.699998,0.870567,0.514259,0.851746,0.791465,0.787112,0.756739,0.705054
0.0,0.381858,0.799448,0.733658,0.0321357,0.813725,0.791749,0.0662726,2.08645
0.0,0.476447,-0.756682,0.492306,0.72583,0.285675,0.715766,0.468806,0.567999
0.0,0.991073,0.607067,0.899661,0.65197,-0.27428,1.09805,0.57247,0.0858288
0.0,0.980772,0.586767,0.118279,0.320865,0.494054,0.515571,0.522439,0.932648
0.0,0.185446,-0.719651,0.0135364,0.0589553,-0.292243,0.201907,0.0607562,-0.0735433
0.0,0.279583,-0.523232,0.210347,0.35429,-0.746211,0.43285,0.170737,-0.433253
0.0,0.470262,0.495809,0.0696831,0.764183,-0.902062,0.480612,0.354803,-0.103158
0.0,0.941054,-0.346725,0.158776,0.870982,0.901513,0.613806,0.688994,0.518936
0.0,0.814079,-0.751881,0.891345,0.574225,0.150735,1.02487,0.435711,0.288793
0.0,0.426601,-0.861507,0.643672,0.564355,0.763476,0.775979,0.436408,0.92878
0.0,0.949068,-0.564984,0.884712,0.0182599,-0.305844,0.958172,0.0547514,1.98759
0.0,0.244866,0.290608,0.2459,0.95932,-0.414085,0.575361,0.425234,0.393395
0.0,0.119137,-0.541212,0.212828,0.674355,-0.88423,0.479679,0.228677,0.0377569
0.0,0.679651,0.976178,0.204158,0.0533,-0.103217,0.465498,0.280509,1.95673
0.0,0.751679,-0.651484,0.476667,0.842267,0.293665,0.766115,0.558269,0.404329
0.0,0.889869,0.429068,0.803849,0.600973,-0.654551,1.00605,0.475849,-0.166085
0.0,0.0999812,-0.777605,0.459085,0.463615,0.0848025,0.580003,0.294257,0.717468
0.0,0.436378,0.960241,0.25451,0.89783,0.327473,0.595437,0.60079,0.636594
0.0,0.60967,0.248077,0.211869,0.959027,-0.660386,0.616411,0.484541,-0.0853487
0.0,0.758056,-0.00428322,0.235457,0.0167962,-0.378109,0.481335,0.19024,1.85612
0.0,0.300864,0.370649,0.109201,0.356845,0.0474806,0.381132,0.246294,0.302594
0.0,0.512525,-0.648467,0.868189,0.830003,-0.594808,1.02545,0.508079,-0.104472
0.0,0.979886,-0.130875,0.693725,0.317509,-0.322842,0.880767,0.306627,0.0581673
0.0,0.11296,-0.111891,0.0544665,0.660892,-0.548836,0.378257,0.223875,0.472873
0.0,0.262209,-0.594759,0.418995,0.903227,0.453686,0.660325,0.559991,0.970472
0.0,0.427966,-0.225818,0.524086,0.774421,0.113206,0.74481,0.501011,0.443606
0.0,0.80141,-0.420971,0.916211,0.875579,0.619415,1.07888,0.704611,0.713592
0.0,0.169052,0.681987,0.402119,0.932132,0.928319,0.625056,0.66305,1.24682
0.0,0.326737,0.425533,0.445379,0.400124,-0.1451,0.612698,0.285556,0.161064
0.0,0.182729,0.550575,0.928572,0.496679,-0.383927,0.992503,0.378423,0.0321626
0.0,0.685171,0.946191,0.148435,0.351474,0.822981,0.481866,0.473167,0.83324
0.0,0.753798,-0.696657,0.797544,0.597402,-0.490536,0.95896,0.390381,-0.237111
0.0,0.0331104,-0.248121,0.210655,0.253031,0.199439,0.332277,0.142446,1.0006
0.0,0.138614,-0.252242,0.725283,0.796334,-0.363166,0.861504,0.489658,0.367703
0.0,0.305546,0.702517,0.940124,0.98347,-0.484157,1.08734,0.641602,0.0912638
0.0,0.408419,-0.982587,0.168521,0.281822,-0.241668,0.414396,0.164616,-0.407654
0.0,0.748151,0.163265,0.844801,0.520582,0.914597,0.984183,0.491961,0.774531
0.0,0.317034,-0.142323,0.608541,0.345033,0.580622,0.706691,0.284788,0.655332
